Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /links/{short_id},51659,0,200,441.98869383096536,2.566790673881769,8379.363167099655,0.0,343.6287271687296,0.0,200,360,570,790,1300,1500,2500,2900,4800,6800,8400
POST,POST /links/shorten,2852,0,140,515.5755301041406,3.553749993443489,7205.075416713953,154.0,18.97112080925331,0.0,140,360,610,950,1400,2300,3200,3800,5300,7200,7200
,Aggregated,54511,0,190,445.8387361536359,2.566790673881769,8379.363167099655,8.057236154170718,362.5998479779829,0.0,190,360,570,800,1300,1500,2500,3100,4800,6800,8400
